               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11504,            0.046815,            0.046025,           0.0021761,             0.19728,           0.0018189,          0.00046289,             0.11335,            0.026588,            0.047607,              0.0883,              0.0013,              0.0013
                   1,             0.10555,            0.049644,            0.044164,           0.0040708,             0.39746,            0.011798,           0.0030309,             0.10216,            0.030561,            0.043439,            0.075682,           0.0026822,           0.0026822
                   2,             0.09421,            0.050786,            0.040006,            0.069912,             0.06875,             0.04024,            0.015019,            0.092539,            0.033936,            0.035947,            0.063046,           0.0040459,           0.0040459
                   3,            0.085966,            0.053993,            0.033815,             0.14293,             0.21879,            0.089625,            0.036467,            0.088306,            0.034642,            0.027811,            0.050391,           0.0053911,           0.0053911
                   4,            0.084339,            0.058419,             0.02893,            0.073771,             0.22858,             0.05273,            0.020457,            0.088974,            0.034639,            0.022168,            0.037718,           0.0067178,           0.0067178
                   5,            0.080856,            0.057682,            0.026049,             0.15645,             0.28972,             0.10017,            0.032659,            0.083564,            0.037353,            0.020389,            0.025026,           0.0080261,           0.0080261
                   6,            0.079324,             0.06419,            0.026158,             0.21967,             0.35888,             0.17065,            0.070188,            0.080485,             0.03861,            0.020197,            0.012316,           0.0093159,           0.0093159
                   7,            0.078866,            0.054687,            0.017585,              0.2061,             0.30168,             0.10949,            0.036084,            0.088555,            0.034055,            0.015987,            0.009538,            0.009538,            0.009538
                   8,             0.07621,            0.052946,            0.016157,             0.24738,              0.2486,             0.13265,            0.051155,            0.084987,            0.034113,            0.014551,            0.009538,            0.009538,            0.009538
                   9,            0.078343,            0.053774,            0.012887,             0.33612,             0.22587,             0.15633,            0.058149,            0.080969,             0.03304,            0.010477,            0.009472,            0.009472,            0.009472
                  10,            0.070186,            0.045469,             0.01368,             0.26206,             0.20512,             0.12403,            0.039397,            0.078619,            0.034236,           0.0096836,            0.009406,            0.009406,            0.009406
                  11,            0.070414,            0.042802,            0.012622,             0.27433,             0.26879,             0.14241,            0.058679,            0.078011,             0.03685,            0.010624,             0.00934,             0.00934,             0.00934
                  12,            0.069385,            0.046249,            0.011629,             0.20115,             0.31381,             0.18898,             0.09021,            0.075526,            0.035741,            0.011784,            0.009274,            0.009274,            0.009274
                  13,            0.067638,            0.049279,           0.0090183,             0.13947,             0.33116,            0.092373,             0.03977,            0.079104,            0.035332,             0.01024,            0.009208,            0.009208,            0.009208
                  14,            0.068647,            0.052111,             0.01018,             0.15432,             0.37106,             0.11006,            0.043984,            0.080186,            0.038526,            0.015137,            0.009142,            0.009142,            0.009142
                  15,            0.063738,            0.048016,           0.0087028,              0.2377,             0.34512,             0.12977,            0.050732,            0.076724,            0.040115,            0.011328,            0.009076,            0.009076,            0.009076
                  16,            0.066369,              0.0507,           0.0071824,             0.25734,             0.40823,             0.18416,             0.07259,            0.074158,             0.03842,           0.0064083,             0.00901,             0.00901,             0.00901
                  17,            0.063432,            0.051552,           0.0077607,             0.31227,             0.35562,              0.1892,            0.087465,            0.072705,            0.042307,           0.0056557,            0.008944,            0.008944,            0.008944
                  18,            0.064308,            0.049678,           0.0063665,              0.3543,             0.34573,             0.19396,            0.084296,            0.077923,            0.038291,           0.0061821,            0.008878,            0.008878,            0.008878
                  19,            0.063511,            0.046636,           0.0070998,             0.37802,             0.25743,              0.1722,            0.089163,            0.081671,            0.041334,            0.010533,            0.008812,            0.008812,            0.008812
                  20,            0.063115,            0.049501,           0.0060261,             0.38233,             0.34359,             0.21029,              0.1002,            0.078163,            0.040728,            0.010176,            0.008746,            0.008746,            0.008746
                  21,            0.064398,            0.049404,           0.0062083,             0.42384,             0.26472,             0.21915,            0.094105,            0.073163,            0.041144,           0.0090786,             0.00868,             0.00868,             0.00868
                  22,            0.061284,            0.051477,           0.0056069,             0.21106,             0.42533,             0.18865,            0.079253,            0.071823,            0.042008,           0.0089069,            0.008614,            0.008614,            0.008614
                  23,            0.057853,            0.043089,           0.0064389,             0.30131,             0.45362,             0.30816,             0.13443,            0.071951,            0.039526,           0.0080193,            0.008548,            0.008548,            0.008548
                  24,            0.061055,            0.051518,           0.0054884,             0.32938,             0.39548,             0.22473,            0.094245,             0.07051,            0.039493,           0.0061348,            0.008482,            0.008482,            0.008482
                  25,            0.058915,            0.050005,           0.0055931,             0.17347,              0.3486,             0.15756,            0.069881,             0.06964,            0.040673,            0.012016,            0.008416,            0.008416,            0.008416
                  26,            0.058346,            0.048387,           0.0054476,             0.31439,             0.36706,             0.22027,            0.099441,            0.070458,            0.039339,             0.01215,             0.00835,             0.00835,             0.00835
                  27,            0.060156,            0.047687,           0.0044169,             0.26128,              0.3784,             0.19177,            0.064952,            0.070751,            0.038697,            0.010131,            0.008284,            0.008284,            0.008284
                  28,            0.057783,            0.044359,           0.0059715,             0.29955,             0.38619,             0.21168,            0.082556,            0.070208,            0.039761,           0.0090843,            0.008218,            0.008218,            0.008218
                  29,            0.056194,            0.045364,           0.0053459,              0.3759,             0.35716,             0.26297,             0.12335,            0.069424,            0.038352,            0.012318,            0.008152,            0.008152,            0.008152
                  30,            0.059489,            0.047489,           0.0043417,             0.50719,             0.35179,              0.3267,             0.16671,            0.069367,            0.039374,            0.010157,            0.008086,            0.008086,            0.008086
                  31,             0.05345,            0.040601,           0.0055244,             0.55612,             0.26523,             0.22043,            0.097219,            0.071793,             0.04106,            0.020212,             0.00802,             0.00802,             0.00802
                  32,            0.054805,            0.044799,           0.0035856,             0.64805,             0.27603,             0.21508,            0.099464,            0.071284,            0.042807,            0.023459,            0.007954,            0.007954,            0.007954
                  33,            0.056816,            0.045034,           0.0040735,             0.34036,             0.46058,              0.3378,              0.1504,            0.068796,            0.040763,           0.0057505,            0.007888,            0.007888,            0.007888
                  34,            0.053205,            0.039833,           0.0046428,               0.554,             0.35978,              0.3417,             0.17544,            0.075011,            0.040441,            0.010498,            0.007822,            0.007822,            0.007822
                  35,            0.056394,            0.044641,            0.004374,             0.44577,             0.31989,              0.2345,             0.11253,            0.080859,            0.045482,            0.014114,            0.007756,            0.007756,            0.007756
                  36,             0.05668,            0.046344,           0.0038234,             0.50079,             0.30662,             0.24598,             0.13473,            0.079993,            0.046682,            0.015233,             0.00769,             0.00769,             0.00769
                  37,            0.052987,            0.043745,           0.0040989,             0.30932,             0.31522,             0.18373,            0.088533,             0.07552,            0.045608,           0.0086206,            0.007624,            0.007624,            0.007624
                  38,            0.053928,            0.046589,           0.0043168,             0.31937,             0.35924,             0.28781,             0.14702,            0.070476,            0.041537,           0.0058247,            0.007558,            0.007558,            0.007558
                  39,            0.052531,            0.041089,           0.0034554,             0.41016,             0.33111,             0.30624,             0.16757,            0.075574,            0.046472,            0.008448,            0.007492,            0.007492,            0.007492
                  40,            0.053395,            0.042647,           0.0040053,             0.37685,             0.33999,             0.27449,             0.14885,            0.073096,             0.04272,           0.0076213,            0.007426,            0.007426,            0.007426
                  41,            0.051963,            0.041605,           0.0032559,             0.36797,             0.36802,             0.34629,              0.1894,            0.069567,             0.04018,           0.0068257,             0.00736,             0.00736,             0.00736
                  42,            0.053292,             0.04017,           0.0033296,             0.69575,             0.31766,             0.38275,             0.20163,             0.07312,            0.042507,           0.0087175,            0.007294,            0.007294,            0.007294
                  43,             0.05284,             0.04388,           0.0037387,             0.37609,             0.40216,             0.30724,             0.15976,             0.07731,            0.045421,            0.013295,            0.007228,            0.007228,            0.007228
                  44,            0.054673,            0.046076,           0.0036667,             0.38439,             0.38211,             0.28589,             0.14606,            0.074085,            0.043429,            0.013037,            0.007162,            0.007162,            0.007162
                  45,            0.052827,            0.044791,           0.0028841,             0.53145,             0.36008,             0.33836,             0.17098,            0.075501,            0.044054,            0.011372,            0.007096,            0.007096,            0.007096
                  46,            0.050518,            0.040868,           0.0034483,             0.35514,             0.46096,             0.31169,             0.14645,            0.071948,            0.043052,            0.010874,             0.00703,             0.00703,             0.00703
                  47,            0.053251,            0.040737,           0.0031947,             0.38836,             0.43777,             0.33794,             0.17427,            0.070249,            0.042884,            0.010889,            0.006964,            0.006964,            0.006964
                  48,            0.051739,            0.049032,           0.0028459,             0.54112,             0.42712,             0.36952,             0.16704,            0.064591,            0.039055,            0.010593,            0.006898,            0.006898,            0.006898
                  49,            0.051054,            0.043313,           0.0030045,             0.67266,             0.39666,             0.37931,             0.17372,            0.067623,              0.0395,           0.0083636,            0.006832,            0.006832,            0.006832
                  50,            0.051345,            0.046314,             0.00328,             0.64474,             0.39935,             0.40108,             0.19896,             0.06786,            0.041405,           0.0088029,            0.006766,            0.006766,            0.006766
                  51,            0.050516,            0.047158,           0.0032221,             0.63362,             0.33453,             0.39821,             0.20318,            0.068702,            0.041279,           0.0085419,              0.0067,              0.0067,              0.0067
                  52,            0.051045,            0.043435,           0.0027429,             0.57629,             0.32228,             0.36629,             0.18087,             0.06901,            0.043258,           0.0090068,            0.006634,            0.006634,            0.006634
                  53,            0.048824,            0.041794,           0.0032805,             0.57749,             0.33868,             0.37039,             0.17717,            0.068737,            0.044232,           0.0080503,            0.006568,            0.006568,            0.006568
                  54,            0.047346,            0.039111,           0.0032214,             0.62884,             0.28858,             0.31606,             0.15131,             0.06998,            0.044087,           0.0070767,            0.006502,            0.006502,            0.006502
                  55,            0.051477,            0.041442,           0.0028098,             0.47125,             0.34746,             0.31591,             0.15301,            0.068559,            0.045773,           0.0061214,            0.006436,            0.006436,            0.006436
                  56,            0.051389,             0.03897,           0.0031575,              0.5854,              0.3457,             0.30987,             0.14531,            0.069897,            0.045179,           0.0068316,             0.00637,             0.00637,             0.00637
                  57,            0.049564,            0.041914,           0.0028351,              0.4448,             0.41132,             0.30145,             0.13605,            0.068166,              0.0436,           0.0057929,            0.006304,            0.006304,            0.006304
